person_id,fullName,sourcePerson,born,sourceBorn,died,sourceDied,children,sourceChildren,sex,timesMarried,spouse,dateMarried,dateEnded,meansEnded,sourceMarriage,siblings,sourceSiblings,father,sourceFather,mother,sourceMother,spouse2,dateMarried2,dateEnded2,meansEnded2,sourceMarriage2,spouse3,dateMarried3,dateEnded3,meansEnded3,sourceMarriage3
EllenWhite,Ellen Gould (Harmon) White,http://en.wikipedia.org/wiki/Ellen_G._White,1827-11-26,http://www.whiteestate.org/issues/genealogy.html,1915-07-16,http://www.whiteestate.org/issues/genealogy.html,"[HenryWhite, WilliamWhite, JEdsonWhite, HerbertWhite]",http://www.whiteestate.org/issues/genealogy.html,f,1,JamesWhite,1846-08-30,1881-08-06,death,"Number2008, [69, 243]","[JohnHarmon, SarahBelden, HarrietMcCann, ElizabethBangs, CarolineClough, MaryFoss, RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,RobertHarmon,http://www.whiteestate.org/issues/genealogy.html,EuniceHarmon,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
JohnHarmon,John B. Harmon,,1815-12-29,http://www.whiteestate.org/issues/genealogy.html,1883-03-06,http://www.whiteestate.org/issues/genealogy.html,unknown,n/a,m,3,DorcasGould,1836-08-01,unknown,unknown,http://www.whiteestate.org/issues/genealogy.html,"[EllenWhite, SarahBelden, HarrietMcCann, ElizabethBangs, CarolineClough, MaryFoss, RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,RobertHarmon,http://www.whiteestate.org/issues/genealogy.html,EuniceHarmon,http://www.whiteestate.org/issues/genealogy.html,AbigailBagby,unknown,unknown,unknown,http://www.whiteestate.org/issues/genealogy.html,Lucy,unknown,unknown,unknown,http://www.whiteestate.org/issues/genealogy.html
SarahBelden,Sarah B. (Harmon) Belden,,1822-02-13,http://www.whiteestate.org/issues/genealogy.html,1868-11-25,http://www.whiteestate.org/issues/genealogy.html,unknown,n/a,f,1,StephenBelden,unknown,unknown,unknown,http://www.whiteestate.org/issues/genealogy.html,"[JohnHarmon, EllenWhite, HarrietMcCann, ElizabethBangs, CarolineClough, MaryFoss, RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,RobertHarmon,http://www.whiteestate.org/issues/genealogy.html,EuniceHarmon,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
HarrietMcCann,Harriet (Harmon) McCann,,1814-??-??,http://www.whiteestate.org/issues/genealogy.html,1878-01-21,http://www.whiteestate.org/issues/genealogy.html,unknown,n/a,f,1,SamuelMcCann,1831-07-16,unknown,unknown,http://www.whiteestate.org/issues/genealogy.html,"[JohnHarmon, SarahBelden, EllenWhite, ElizabethBangs, CarolineClough, MaryFoss, RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,RobertHarmon,http://www.whiteestate.org/issues/genealogy.html,EuniceHarmon,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ElizabethBangs,Elizabeth M. (Harmon) Bangs,,1827-11-26,http://www.whiteestate.org/issues/genealogy.html,1891-12-21,http://www.whiteestate.org/issues/genealogy.html,unknown,n/a,f,1,ReubenBangs,1849-04-22,unknown,unknown,http://www.whiteestate.org/issues/genealogy.html,"[JohnHarmon, SarahBelden, HarrietMcCann, EllenWhite, CarolineClough, MaryFoss, RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,RobertHarmon,http://www.whiteestate.org/issues/genealogy.html,EuniceHarmon,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CarolineClough,Caroline T. (Harmon) Clough,,1812-08-09,http://www.whiteestate.org/issues/genealogy.html,1883-03-29,http://www.whiteestate.org/issues/genealogy.html,unknown,n/a,f,1,MaceClough,1835-06-02,unknown,unknown,http://www.whiteestate.org/issues/genealogy.html,"[JohnHarmon, SarahBelden, HarrietMcCann, ElizabethBangs, EllenWhite, MaryFoss, RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,RobertHarmon,http://www.whiteestate.org/issues/genealogy.html,EuniceHarmon,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
MaryFoss,Mary Plummer (Harmon) Foss,,1821-07-21,http://www.whiteestate.org/issues/genealogy.html,1912-05-22,http://www.whiteestate.org/issues/genealogy.html,unknown,n/a,f,1,SamuelFoss,1842-07-05,unknown,unknown,http://www.whiteestate.org/issues/genealogy.html,"[JohnHarmon, SarahBelden, HarrietMcCann, ElizabethBangs, CarolineClough, EllenWhite RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,RobertHarmon,http://www.whiteestate.org/issues/genealogy.html,EuniceHarmon,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
RobertHarmonJr,"Robert Harmon, Jr.",,1825-07-13,http://www.whiteestate.org/issues/genealogy.html,1853-02-05,http://www.whiteestate.org/issues/genealogy.html,unknown,n/a,m,0,n/a,n/a,n/a,n/a,n/a,"[JohnHarmon, SarahBelden, HarrietMcCann, ElizabethBangs, CarolineClough, MaryFoss, EllenWhite]",http://www.whiteestate.org/issues/genealogy.html,RobertHarmon,http://www.whiteestate.org/issues/genealogy.html,EuniceHarmon,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
RobertHarmon,Robert Harmon,,1786-02-28,http://www.whiteestate.org/issues/genealogy.html,1866-11-06,http://www.whiteestate.org/issues/genealogy.html,"[JohnHarmon, SarahBelden, HarrietMcCann, ElizabethBangs, EllenWhite, CarolineClough, MaryFoss, RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,m,1,EuniceHarmon,1810-07-04,1864-01-??,death,http://www.whiteestate.org/issues/genealogy.html,contested,,contested,,contested,,,,,,,,,,,
EuniceHarmon,Eunice (Gould) Harmon,,1786-??-??,http://www.whiteestate.org/issues/genealogy.html,1864-01-??,http://www.whiteestate.org/issues/genealogy.html,"[JohnHarmon, SarahBelden, HarrietMcCann, ElizabethBangs, EllenWhite, CarolineClough, MaryFoss, RobertHarmonJr]",http://www.whiteestate.org/issues/genealogy.html,f,1,RobertHarmon,1810-07-04,1864-01-??,death,http://www.whiteestate.org/issues/genealogy.html,contested,,contested,,contested,,,,,,,,,,,
HenryWhite,Henry Nichols White,,1847-08-26,http://www.whiteestate.org/issues/genealogy.html,1863-12-08,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,m,0,n/a,n/a,n/a,n/a,n/a,"[HerbertWhite, JEdsonWhite, WilliamWhite]",http://www.whiteestate.org/issues/genealogy.html,JamesWhite,http://www.whiteestate.org/issues/genealogy.html,EllenWhite,http://www.whiteestate.org/issues/genealogy.html,,,,,,,,,,
Herbert White,Herbert White,,1860-09-20,http://www.whiteestate.org/issues/genealogy.html,1860-12-14,http://www.whiteestate.org/issues/genealogy.html,n/a,n/a,m,0,n/a,n/a,n/a,n/a,n/a,"[HenryWhite, JEdsonWhite, WilliamWhite]",http://www.whiteestate.org/issues/genealogy.html,JamesWhite,http://www.whiteestate.org/issues/genealogy.html,EllenWhite,http://www.whiteestate.org/issues/genealogy.html,,,,,,,,,,
JEdsonWhite,James Edson White,http://en.wikipedia.org/wiki/Edson_White,1849-07-28,http://www.whiteestate.org/issues/genealogy.html,1928-06-03,http://www.whiteestate.org/issues/genealogy.html,,,m,2,EmmaMacDearman,,1916-??-??,death,http://www.whiteestate.org/issues/genealogy.html,"[HenryWhite, HerbertWhite, WilliamWhite]",http://www.whiteestate.org/issues/genealogy.html,JamesWhite,http://www.whiteestate.org/issues/genealogy.html,EllenWhite,http://www.whiteestate.org/issues/genealogy.html,RebeccaBurrill,,,,http://www.whiteestate.org/issues/genealogy.html,,,,,
WilliamWhite,William Clarence White,http://en.wikipedia.org/wiki/William_C._White,1854-08-29,http://www.whiteestate.org/issues/genealogy.html,1937-08-31,http://www.whiteestate.org/issues/genealogy.html,,,m,2,MaryKelsey,,1890-??-??,death,http://www.whiteestate.org/issues/genealogy.html,"[HenryWhite, HerbertWhite, JEdsonWhite]",http://www.whiteestate.org/issues/genealogy.html,JamesWhite,http://www.whiteestate.org/issues/genealogy.html,EllenWhite,http://www.whiteestate.org/issues/genealogy.html,EthelLacey,,,,http://www.whiteestate.org/issues/genealogy.html,,,,,
JamesWhite,James Springer White,http://en.wikipedia.org/wiki/James_Springer_White,1821-08-04,http://www.whiteestate.org/issues/genealogy.html,1881-08-06,http://www.whiteestate.org/issues/genealogy.html,"[HenryWhite, WilliamWhite, JEdsonWhite, HerbertWhite]",http://www.whiteestate.org/issues/genealogy.html,m,1,EllenWhite,1846-08-30,1881-08-06,death,http://www.whiteestate.org/issues/genealogy.html,"[JohnWhiteJr, MaryWhite, SamuelWhite, ElizabethWhite, BenjaminWhite, JosephWhite, NathanielWhite, AnnaWhite]",http://trees.ancestry.com/tree/19497535/person/811200414,JohnWhite,http://books.google.com/books?id=UFCvKY2HMRsC&pg=PA18&source=gbs_toc_r&cad=3#v=onepage&q&f=false,BettyWhite,http://books.google.com/books?id=UFCvKY2HMRsC&pg=PA18&source=gbs_toc_r&cad=3#v=onepage&q&f=false,,,,,,,,,,
BettyWhite,Elizabeth (Jewett) White,http://www.geni.com/people/Elizabeth-Betsey-White/6000000028416368540,1788-02-14,http://trees.ancestry.com/tree/19497535/person/811199570,1871-01-01,http://trees.ancestry.com/tree/19497535/person/811199570,"[JohnWhiteJr, MaryWhite, SamuelWhite, ElizabethWhite, BenjaminWhite, JosephWhite, NathanielWhite, AnnaWhite, JamesWhite]",http://trees.ancestry.com/tree/19497535/person/811200404,f,1,JohnWhite,1820-??-??,1871-??-??,death,http://trees.ancestry.com/tree/19497535/person/811200404,,,,,,,,,,,,,,,,
JohnWhite,John White,http://www.geni.com/people/Deacon-John-White/6000000028416760826,1785-04-12,http://trees.ancestry.com/tree/19497535/person/811200404,1871-07-05,http://trees.ancestry.com/tree/19497535/person/811200404,"[JohnWhiteJr, MaryWhite, SamuelWhite, ElizabethWhite, BenjaminWhite, JosephWhite, NathanielWhite, AnnaWhite, JamesWhite]",http://trees.ancestry.com/tree/19497535/person/811200404,m,1,BettyWhite,1820-??-??,1871-??-??,death,http://trees.ancestry.com/tree/19497535/person/811200404,,,,,,,,,,,,,,,,
AnnaWhite,Anna White,http://www.geni.com/people/Anna-White/6000000003816785623,,,1854-??-??,http://trees.ancestry.com/tree/19497535/person/811200400,,,f,0,n/a,n/a,n/a,n/a,n/a,"[JohnWhiteJr, MaryWhite, SamuelWhite, ElizabethWhite, BenjaminWhite, JosephWhite, NathanielWhite, JamesWhite]",http://trees.ancestry.com/tree/19497535/person/811200400,JohnWhite,http://trees.ancestry.com/tree/19497535/person/811200400,BettyWhite,http://trees.ancestry.com/tree/19497535/person/811200400,,,,,,,,,,
EllaKellogg,Ella Eaton Kellogg,http://digital.lib.msu.edu/projects/cookbooks/html/authors/author_kellogg.html,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,
JohnKellogg,John Harvey Kellogg,http://en.wikipedia.org/wiki/John_Harvey_Kellogg,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
LisettaHiggins,Lisetta (Neukom) Higgins,http://archives.msu.edu/findaid/172.html,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,
MichaelOShea,Michael Vincent O'Shea,http://en.wikisource.org/wiki/Author:Michael_Vincent_O'Shea,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
RussellTrall,Russell Thacher Trall,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
LidaScott,Lida Scott,,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,
PercyMagan,Percy T. Magan,http://www.centerforadventistresearch.org/manuscripts/magan-percy/,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
StephenHaskell,Stephen Nelson Haskell,http://en.wikipedia.org/wiki/Stephen_N._Haskell,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
GeorgeButler,George (G.I.) Butler,http://en.wikipedia.org/wiki/George_Ide_Butler,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
ArthurDaniells,Arthur Grosvenor Daniells,http://en.wikipedia.org/wiki/A._G._Daniells,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
EdwardSutherland,Edward Alexander (E.A.) Sutherland,http://www.centerforadventistresearch.org/manuscripts/sutherland/,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
JohnAndrews,John Nevins Andrews,http://en.wikipedia.org/wiki/J._N._Andrews,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
JohnByington,John Byington,http://en.wikipedia.org/wiki/J._N._Andrews,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
UriahSmith,Uriah Smith,http://en.wikipedia.org/wiki/Uriah_Smith,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
ElletWaggoner,Ellet Joseph (E.J.)Waggoner,http://en.wikipedia.org/wiki/Ellet_J._Waggoner,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
JohnLoughborough,John Norton (J.N.) Loughborough,http://en.wikipedia.org/wiki/J._N._Loughborough,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
FlorenceKeller,Nettie Florence Keller,http://en.wikipedia.org/wiki/Nettie_Florence_Keller,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,
AlonzoJones,Alonzo Trévier (A.T.) Jones,http://en.wikipedia.org/wiki/Alonzo_T._Jones,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
WilliamPrescott,William Warren (W.W.) Prescott,http://en.wikipedia.org/wiki/W._W._Prescott,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
SallySutherland,Sally V. (Bralliar) Sutherland,,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,
BessieDeGraw,M. Bessie DeGraw,http://trees.ancestry.com/tree/62536372/person/34087504789,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,
NellieDruillard,Nellie Druillard,,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,
,(E.M.) Sanders,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
,(I.H.) Evans,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,
