title,titleID,authorID,publisher,date,editor,edition,volume,series,type,digitalSource,publisherLocation/city,publisherLocation/state
"Household manual of domestic hygiene, food and diet...",,"JHKellogg, RussellTrall",Office of the Health Reformer,,,,,,book,Google,Battle Creek,Michigan
The Body in Health,,"JHKellogg, MVOShea",The Macmillan company,1915,,,,The Health Series of Physiology and Hygiene,book,Google,New York,New York
Health Habits,,"JHKellogg, MVOShea",The Macmillan company,1915,,,,Health Series of Physiology and Hygiene,,Google,New York,New York
Keeping the Body in Health,,"JHKellogg, MVOShea",The Macmillan company,,,,2,Everyday Health Series,book,Google,New York,New York
Practical manual of health and temperance...,,"JHKellogg, EllaKellogg",Good Health Publishing Company,1885,,Revised and Enlarged,,,book,Google,Battle Creek,Michigan
"The uses of water in health and disease : a practical treatise on the bath, its history and uses",,JHKellogg,Office of the Health Reformer,1876,,,,,book,Internet Archive,Battle Creek,Michigan
Plain facts about sexual life.,,JHKellogg,The Office of the Health Reformer,1877,,,,,book,Internet Archive,Battle Creek,Michigan
"The household manual of hygiene, food and diet, common diseases, accidents and emergencies, and useful hints and recipes",,JHKellogg,The Office of the Health Reformer,1877,,,,,book,Internet Archive,Battle Creek,Michigan
The home hand-book of domestic hygiene and rational medicine.,,JHKellogg,Pacific Press Publishing Company,1881,,,2,,book,Google,Oakland,California
"Ladies' guide in health and disease. Girlhood, maidenhood, wifehood, motherhood",,JHKellogg,Modern Medicine Publishing Company,1882,,,,,book,Google,Battle Creek,Michigan
First Book in Physiology and Hygiene,,JHKellogg,American Book Company,1887,,New and Revised Edition,,,book,Google,New York,New York
"Ten lectures on nasal catarrh, its nature, causes, prevention, and cure",,JHKellogg,Good Health Publishing Company,1889,,,,,book,Internet Archive,Battle Creek,Michigan
Sunbeams of health and temperance. An instructive account of the health habits of all nations...,,JHKellogg,Good Health Publishing Company,1890,,,,,book,Internet Archive,Battle Creek,Michigan
The household monitor of health,,JHKellogg,Good Health Publishing Company,1891,,,,,book,Google,Battle Creek,Michigan
