_id,name,month,day,year,prefix,volume,issue,remotePath
MC18421117-V01-01,The Midnight Cry for 1842 - Vol. 01 - No. 01,11,17,1842,MC,1,1,http://documents.adventistarchives.org/Periodicals/MC/MC18421117-V01-01.pdf
MC18421118-V01-02,The Midnight Cry for 1842 - Vol. 01 - No. 02,11,18,1842,MC,1,2,http://documents.adventistarchives.org/Periodicals/MC/MC18421118-V01-02.pdf
MC18421119-V01-03,The Midnight Cry for 1842 - Vol. 01 - No. 03,11,19,1842,MC,1,3,http://documents.adventistarchives.org/Periodicals/MC/MC18421119-V01-03.pdf
MC18421121-V01-04,The Midnight Cry for 1842 - Vol. 01 - No. 04,11,21,1842,MC,1,4,http://documents.adventistarchives.org/Periodicals/MC/MC18421121-V01-04.pdf
MC18421122-V01-05,The Midnight Cry for 1842 - Vol. 01 - No. 05,11,22,1842,MC,1,5,http://documents.adventistarchives.org/Periodicals/MC/MC18421122-V01-05.pdf
MC18421123-V01-06,The Midnight Cry for 1842 - Vol. 01 - No. 06,11,23,1842,MC,1,6,http://documents.adventistarchives.org/Periodicals/MC/MC18421123-V01-06.pdf
MC18421124-V01-07,The Midnight Cry for 1842 - Vol. 01 - No. 07,11,24,1842,MC,1,7,http://documents.adventistarchives.org/Periodicals/MC/MC18421124-V01-07.pdf
MC18421125-V01-08,The Midnight Cry for 1842 - Vol. 01 - No. 08,11,25,1842,MC,1,8,http://documents.adventistarchives.org/Periodicals/MC/MC18421125-V01-08.pdf
MC18421126-V01-09,The Midnight Cry for 1842 - Vol. 01 - No. 09,11,26,1842,MC,1,9,http://documents.adventistarchives.org/Periodicals/MC/MC18421126-V01-09.pdf
MC18421128-V01-10,The Midnight Cry for 1842 - Vol. 01 - No. 10,11,28,1842,MC,1,10,http://documents.adventistarchives.org/Periodicals/MC/MC18421128-V01-10.pdf
MC18421129-V01-11,The Midnight Cry for 1842 - Vol. 01 - No. 11,11,29,1842,MC,1,11,http://documents.adventistarchives.org/Periodicals/MC/MC18421129-V01-11.pdf
MC18421130-V01-12,The Midnight Cry for 1842 - Vol. 01 - No. 12,11,30,1842,MC,1,12,http://documents.adventistarchives.org/Periodicals/MC/MC18421130-V01-12.pdf
MC18421201-V01-13,The Midnight Cry for 1842 - Vol. 01 - No. 13,12,1,1842,MC,1,13,http://documents.adventistarchives.org/Periodicals/MC/MC18421201-V01-13.pdf
MC18421202-V01-14,The Midnight Cry for 1842 - Vol. 01 - No. 14,12,2,1842,MC,1,14,http://documents.adventistarchives.org/Periodicals/MC/MC18421202-V01-14.pdf
MC18421203-V01-15,The Midnight Cry for 1842 - Vol. 01 - No. 15,12,3,1842,MC,1,15,http://documents.adventistarchives.org/Periodicals/MC/MC18421203-V01-15.pdf
MC18421205-V01-16,The Midnight Cry for 1842 - Vol. 01 - No. 16,12,5,1842,MC,1,16,http://documents.adventistarchives.org/Periodicals/MC/MC18421205-V01-16.pdf
MC18421205-V01-17,The Midnight Cry for 1842 - Vol. 01 - No. 17,12,5,1842,MC,1,17,http://documents.adventistarchives.org/Periodicals/MC/MC18421205-V01-17.pdf
MC18421207-V01-18,The Midnight Cry for 1842 - Vol. 01 - No. 18,12,7,1842,MC,1,18,http://documents.adventistarchives.org/Periodicals/MC/MC18421207-V01-18.pdf
MC18421209-V01-19,The Midnight Cry for 1842 - Vol. 01 - No. 19,12,9,1842,MC,1,19,http://documents.adventistarchives.org/Periodicals/MC/MC18421209-V01-19.pdf
MC18421210-V01-20,The Midnight Cry for 1842 - Vol. 01 - No. 20,12,10,1842,MC,1,20,http://documents.adventistarchives.org/Periodicals/MC/MC18421210-V01-20.pdf
MC18421212-V01-21,The Midnight Cry for 1842 - Vol. 01 - No. 21,12,12,1842,MC,1,21,http://documents.adventistarchives.org/Periodicals/MC/MC18421212-V01-21.pdf
MC18421213-V01-22,The Midnight Cry for 1842 - Vol. 01 - No. 22,12,13,1842,MC,1,22,http://documents.adventistarchives.org/Periodicals/MC/MC18421213-V01-22.pdf
MC18421214-V01-23,The Midnight Cry for 1842 - Vol. 01 - No. 23,12,14,1842,MC,1,23,http://documents.adventistarchives.org/Periodicals/MC/MC18421214-V01-23.pdf
MC18421215-V01-24,The Midnight Cry for 1842 - Vol. 01 - No. 24,12,15,1842,MC,1,24,http://documents.adventistarchives.org/Periodicals/MC/MC18421215-V01-24.pdf
MC18421216-V01-25,The Midnight Cry for 1842 - Vol. 01 - No. 25,12,16,1842,MC,1,25,http://documents.adventistarchives.org/Periodicals/MC/MC18421216-V01-25.pdf
MC18421217-V01-26,The Midnight Cry for 1842 - Vol. 01 - No. 26,12,17,1842,MC,1,26,http://documents.adventistarchives.org/Periodicals/MC/MC18421217-V01-26.pdf
MC18430420-V04-03,The Midnight Cry for 1843 - Vol. 04 - No. 03,4,20,1843,MC,4,3,http://documents.adventistarchives.org/Periodicals/MC/MC18430420-V04-03.pdf
RH18501101-V01-01,Review and Herald for 1850 - Vol. 01 - No. 01,11,1,1850,RH,1,1,http://documents.adventistarchives.org/Periodicals/RH/RH18501101-V01-01.pdf
RH18501201-V01-02,Review and Herald for 1850 - Vol. 01 - No. 02,12,1,1850,RH,1,2,http://documents.adventistarchives.org/Periodicals/RH/RH18501201-V01-02.pdf
RH18501201-V01-03,Review and Herald for 1850 - Vol. 01 - No. 03,12,1,1850,RH,1,3,http://documents.adventistarchives.org/Periodicals/RH/RH18501201-V01-03.pdf
RH18510101-V01-04,Review and Herald for 1851 - Vol. 01 - No. 04,1,1,1851,RH,1,4,http://documents.adventistarchives.org/Periodicals/RH/RH18510101-V01-04.pdf
RH18510101-V01-05,Review and Herald for 1851 - Vol. 01 - No. 05,1,1,1851,RH,1,5,http://documents.adventistarchives.org/Periodicals/RH/RH18510101-V01-05.pdf
RH18510201-V01-06,Review and Herald for 1851 - Vol. 01 - No. 06,2,1,1851,RH,1,6,http://documents.adventistarchives.org/Periodicals/RH/RH18510201-V01-06.pdf
RH18510301-V01-07,Review and Herald for 1851 - Vol. 01 - No. 07,3,1,1851,RH,1,7,http://documents.adventistarchives.org/Periodicals/RH/RH18510301-V01-07.pdf
RH18510407-V01-08,Review and Herald for 1851 - Vol. 01 - No. 08,4,7,1851,RH,1,8,http://documents.adventistarchives.org/Periodicals/RH/RH18510407-V01-08.pdf
RH18510421-V01-09,Review and Herald for 1851 - Vol. 01 - No. 09,4,21,1851,RH,1,9,http://documents.adventistarchives.org/Periodicals/RH/RH18510421-V01-09.pdf
RH18510505-V01-10,Review and Herald for 1851 - Vol. 01 - No. 10,5,5,1851,RH,1,10,http://documents.adventistarchives.org/Periodicals/RH/RH18510505-V01-10.pdf
RH18510519-V01-11,Review and Herald for 1851 - Vol. 01 - No. 11,5,19,1851,RH,1,11,http://documents.adventistarchives.org/Periodicals/RH/RH18510519-V01-11.pdf
RH18510602-V01-12,Review and Herald for 1851 - Vol. 01 - No. 12,6,2,1851,RH,1,12,http://documents.adventistarchives.org/Periodicals/RH/RH18510602-V01-12.pdf
RH18510609-V01-13,Review and Herald for 1851 - Vol. 01 - No. 13,6,9,1851,RH,1,13,http://documents.adventistarchives.org/Periodicals/RH/RH18510609-V01-13.pdf
RH18510721-V02-01e,Review and Herald for 1851 - Vol. 02 - No. 01e,7,21,1851,RHV,2,1,http://documents.adventistarchives.org/Periodicals/RH/RH18510721-V02-01e.pdf
RH18510805-V02-01,Review and Herald for 1851 - Vol. 02 - No. 01,8,5,1851,RH,2,1,http://documents.adventistarchives.org/Periodicals/RH/RH18510805-V02-01.pdf
RH18510819-V02-02,Review and Herald for 1851 - Vol. 02 - No. 02,8,19,1851,RH,2,2,http://documents.adventistarchives.org/Periodicals/RH/RH18510819-V02-02.pdf
RH18510902-V02-03,Review and Herald for 1851 - Vol. 02 - No. 03,9,2,1851,RH,2,3,http://documents.adventistarchives.org/Periodicals/RH/RH18510902-V02-03.pdf
RH18510916-V02-04,Review and Herald for 1851 - Vol. 02 - No. 04,9,16,1851,RH,2,4,http://documents.adventistarchives.org/Periodicals/RH/RH18510916-V02-04.pdf
RH18511007-V02-05,Review and Herald for 1851 - Vol. 02 - No. 05,10,7,1851,RH,2,5,http://documents.adventistarchives.org/Periodicals/RH/RH18511007-V02-05.pdf
RH18511021-V02-06,Review and Herald for 1851 - Vol. 02 - No. 06,10,21,1851,RH,2,6,http://documents.adventistarchives.org/Periodicals/RH/RH18511021-V02-06.pdf
